歌名,署名,性別,wp/fe 引文,問題(含引文),M1 將女性化約為身體部位與可品評物件,M2 以命令句指揮女性的身體與行為,M3 男性單一視角代言，女性全程無聲,M4 金錢供養與親密關係的交易腳本,M5 性的雙重標準與貞潔敘事,M6 挪用女性賦權語彙並掏空其意涵,M7 架空拒絕與同意,M8 「紅顏禍水」式的歸咎敘事,M9 男性自居評價者、授權者與守門人,M10 單向忠誠要求與占有控制,M11 貶抑其他女性以襯托眼前對象、將女性可替換化,M12 動物化、幼體化與馴服框架,M13 以性征服炫耀男性氣概、將性框架為男性間的較量,F1 厭女詞彙的雙向流通——自稱與攻擊共用同一套貶稱,F2 陰性即侮辱、陽剛即力量的語言階序,F3 以男性為戰利品的女性敵對競爭,F4 男性過錯的責任轉嫁至女性,F5 性—資源交易腳本,F6 消費化的賦權——以財富與奢侈品界定自主與尊重,F7 身體的部位化與商品化自我物化,F8 自主宣言與男性凝視背書的矛盾結構,F9 權力位置的翻轉而非拆解,F10 冷硬無情等於力量的情感規訓,F11 照顧、隱忍與依附的浪漫化,F12 同意界線的模糊與施壓,F13 支配—臣服腳本的情慾化,F14 好女人／壞女人的分類與自我切割,X1 貶抑稱謂的常態化：以「bitch」「hoe」作為女性的預設稱呼,X2 女性被化約為身體部位與性功能,X3 性與親密關係的金錢交易化,X4 所有格宣示與男性間較勁的戰利品邏輯,X5 女性作為可計數、可挑選、可丟棄的可替換品,X6 性同意的消解與性資格感,X7 命令句驅使女性進行性化的身體表演,X8 女聲的自我賦權以貶抑其他女性為代價,X9 以男性為軸心的女女敵對競爭,X10 「陰性＝低劣」的象徵階序,X11 女性犧牲、忍耐與自我消耗的神聖化,X12 男性免責與女性承擔善後,X13 女性失語與男性代言、救世主敘事,X14 女性情緒的病理化與噤聲規訓,X15 女性自我價值錨定於男性凝視與慾望,X16 聖女／蕩婦二分與性的雙重標準
Barbie World,Nicki Minaj & Ice Spice With Aqua,female,"All of the Barbies is bad
It girls (It girls) and we ain't playin' tag (Grrah)
She a Barbie bitch with her Barbie clique (Grrah)","1. 將女性物化為可供他人任意擺弄、脫衣的玩偶，把身體處置權直接讓渡給他者、抹除同意界線（3/3）：「You can brush my hair, undress me everywhere」、「I'm a doll, but I still wanna party」。
2. 開場即以「我永遠屬於你」的從屬宣告定位女性，將自身界定為他人的所有物（2/3）：「I'm always yours, ooh woah」。
3. 女性的人生被描述為他者的創作，暗示其生命由外部意志形塑、喪失主體性（3/3）：「Imagination, life is your creation」。
4. 歌頌「塑膠」的人造完美，強化不真實、標準化的芭比式女性外貌理想（3/3）：「I'm a Barbie girl in the Barbie world / Life in plastic, it's fantastic」。
5. 以外貌評分制度界定女性價值，把「吸引男性」當作美貌的目的與回報，並將「漂亮」設為女性群體的入場標配（3/3）：「I'm a ten, so I pull in a Ken」、「All of the Barbies is pretty」。
6. 將男性對女性的體罰式管教予以浪漫化、情慾化，複製「女性不乖就該被男人懲罰」的父權腳本（3/3）：「Rad, but he spank me when I get bad」。
7. 性展演以引發男性反應為衡量標準，將女性的性能動性收編回男性凝視與慾望之下（3/3）：「Pink 'Vette like I'm ready to bend」、「And I throw it back, so he losin' it」。
8. 將性當作向男性取利、操控男性的手段，落入「以身體換取資源」的交易框架（2/3）：「Yeah, I know the trick, so I got him bricked」。
9. 女性之間以貶抑、攻擊為互動模式，藉羞辱女性同儕（包括嘲弄其外貌受損）來抬高自己，複製內化厭女與「女人為敵」的腳本（3/3）：「I'm washin' these bitches, I'm rubbin' the stain out」、「She a Barbie bitch with her Barbie clique / I keep draggin' her, so she bald a bit」。
10. 以「真假芭比」劃分女性、對其他女性進行資格審查與排他，強化女性間的階序而非團結（3/3）：「All the fake Barbies just wanna pretend」。
11. 大量使用厭女語彙「bitch」指稱女性（含自稱與罵人）（3/3）：「It's Barbie, bitch, if you still in doubt」、「Yeah, they know who lit, me and Barbie, bitch」。",—,—,—,—,—,—,—,—,—,—,—,—,—,✓,,,,✓,,✓,✓,,,,,✓,✓,✓,✓,✓,,,,,✓,,,,,,,✓,
Bartier Cardi,Cardi B Featuring 21 Savage,mixed,"Cardi got rich, they upset, yeah
Cardi got rich, they upset, yeah (from what?)
Cardi put the pussy on Offset (Cardi)
Cardi took your man, you upset, uh","1. 將女性下藥（molly）後與之發生性行為，嚴重涉及性同意問題，並將此當作炫耀資本。（3/3）引文：「Bardi, put that lil' bitch on molly」、「Fucked that bitch on molly」、「Cardi got your bitch on molly」、「The bitch so bad, I popped a Molly 'fore I hit it」。
2. 描寫性行為中擅自取下保險套（stealthing），侵害女性身體自主與健康權，卻以戲謔、炫耀口吻呈現。（3/3）引文：「I pulled the rubber off and I put hot sauce on her titties」。
3. 通篇以「bitch」貶稱女性，將侮辱性詞彙常態化，物化並汙名化女性。（3/3）引文：「Bitch, you ain't gang, you lame」、「Them diamonds gon' hit like a bitch on a bitchy ass bitch」、「Bitch, I'm drippin', ho, you trippin'」。
4. 將女性描寫為男性的所有物與可奪取、可交換的戰利品（「your bitch」），並與名車、鑽石、金錢並列為地位象徵，剝奪其主體性；此框架不僅出現在男聲，女聲段落亦沿用之。（3/3）引文：「Who took your bitch out to party? (Cardi) / I took your bitch at the party」、「I got your bitch and she naked」、「Swap out your bitch for your main」、「Your bitch wanna party with a Savage」。
5. 將女性化約為性器官與性服務工具，僅以性功能存在於歌詞中。（3/3）引文：「she keep on suckin' like it's tinted」、「put hot sauce on her titties」、「Swap out the dick for the brain」。
6. 男聲明白拒絕給予女性性愉悅、將性描繪為單向索取的男性中心服務，體現性愉悅上的雙重標準與不對等。（3/3）引文：「I don't eat pussy, I'm fastin'」。
7. 以精液與生殖力連結金錢價值自我膨脹，將性與征服當作男性地位象徵，強化父權式陽剛崇拜。（3/3）引文：「All these VVSs, nigga, my sperm worth millions」。
8. 以「搶走妳的男人」建構女性之間的敵對、較勁與羞辱，將女性的價值與勝負綁定於爭奪男性之上，複製女性互鬥而非互助的父權敘事。（3/3）引文：「Cardi took your man, you upset, uh」、「Bitch, you a wannabe Cardi」。
9. 女聲的自我賦權表述仍以向特定男性提供性服務為核心誇耀資本，並借用貶抑其他女性的語言，呈現以男性為價值參照的內化厭女框架。（3/3）引文：「Cardi put the pussy on Offset」、「Cartier, Cardi B brain on Offset」、「Them diamonds gon' hit like a bitch on a bitchy ass bitch」。
10. 對女性施加暴力威脅或以暴力意象凌駕女性，並將之當作氣勢展演與炫耀素材。（3/3）引文：「Red bottom MJ, moonwalk on a bitch」、「Bitch, if you bad then jump (jump) / Might leave your bitch in a slump (your back)」。
僅單獨提及：女聲以「像男人一樣」自況來宣示強悍（「I'm poppin' shit like a dude」），隱含將力量與攻擊性預設為男性特質、貶抑女性特質的性別框架。",✓,,,,,,✓,,,,,,✓,,,✓,,,,,,,,,✓,,,✓,✓,,✓,,✓,,✓,✓,,,,,,✓,
Be Careful,Cardi B,female,"But that's not my MO, I'm not that type of bitch","1. 將怒火與貶抑轉向「其他女性」而非僅究責出軌的男方，把第三者物化並汙名化為性對象、竊賊與拜金者，複製「女人為敵」、「小三＝壞女人」的厭女敘事 (3/3)：「Said that you was workin', but you out here chasin' culo / And putas, chillin' poolside, livin' two lives」、「You want some random bitch up in your bed? / She don't even know your middle name / Watch her, 'cause she might steal your chain」
2. 將「未來會遇到的女人」當成對男方的報應，暗示女人本身可以是一種懲罰與貶值品，物化並貶低女性 (3/3)：「And karma for you is gon' be who you end up with」
3. 以「不是那種婊子」自我切割、自抬身價，內化性的雙重標準，強化「好女人／壞女人」的蕩婦羞辱二分法，暗示性上主動或報復性出軌的女性低劣可鄙 (3/3)：「But that's not my MO, I'm not that type of bitch」、「But if I did decide to slide, find a nigga / Fuck him, suck his dick, you would've been pissed」
4. 反覆使用「bitch」、「putas」等貶抑女性的詞彙指涉自己與其他女性，將女性化約為性化身體與「妓女」形象，內化並再生產厭女語彙 (3/3)：「I'm not that type of bitch」、「You want some random bitch up in your bed?」、「chasin' culo / And putas」
5. 呈現女性全然自我奉獻、以男人為生活重心並依附其上的關係模式，將自身價值繫於男性伴侶，且遭背叛後仍難以離開，複製「愛要忍耐」的性別腳本 (3/3)：「The only man, baby, I adore / I gave you everything, what's mine is yours」、「Always said that you'd be there for me, there for me / Boy, you better treat me carefully, carefully」、「It's gon' hurt me to hate you, but lovin' you's worse」
6. 敘事者因男方的過錯而自我懷疑，將問題內化為自身缺陷，呈現（且未翻轉）女性在情感關係中承擔自責的結構性處境 (2/3)：「You got me lookin' in the mirror different / Thinkin' I'm flawed because you inconsistent」
7. 女性價值被框定為男方「得失清單」上的一項資產／獎賞，以「值不值得」衡量女人，強化女性作為可被獲得或失去的物品的想像 (2/3)：「You gon' gain the whole world / But is it worth the girl that you're losin'?」
8. 以「易碎品」自況，用物化語言定位自己在關係中的地位，強化女性脆弱、需被小心對待的刻板意象 (2/3)：「Yeah, my heart is like a package with a fragile label on it」
僅單獨提及：將女性的性自主僅想像為對男性出軌的報復工具而非自身主體慾望，性依然圍繞男人而定義。",—,—,—,—,—,—,—,—,—,—,—,—,—,✓,,,✓,,,,,,,✓,,,✓,✓,,,,,,,✓,,,✓,,,,,✓
Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,mixed,"But really, I was doin' just fine without ya","1. 男聲敘事者在女方缺席、未有任何同意跡象的情況下，於腦中將她化約為床上裸體的性幻想客體，並由「you」轉為第三人稱「she」，剝奪其主體性與聲音（3/3）：「Beautiful mistakes / I make inside my head, she's naked in my bed」、「And now we lie awake, makin' beautiful mistakes」。
2. 女方已明確拒絕、封鎖並指認對方有害，男方仍繞過封鎖持續糾纏，構成騷擾式行為；且歌曲結構讓男聲的幻想副歌在女聲拒絕之後再次出現並收尾，使女性的「不」在文本中被男性慾望覆蓋、未被敘事接納（3/3）：「Like I don't block you and you still try to reach me (Still try to reach me) / How you figure out how to call me from the TV?」、「You're toxic」、「The only way I'm comin' back to you is if you're dreaming, lucid」、「You're runnin' outta chances and this time I mean it」，其後副歌仍重複「she's naked in my bed」、「Makin' beautiful mistakes」。
3. 歌名與副歌將這種無視對方意願的物化執迷美化、浪漫化為「美麗的錯誤」，並明言不願收回、拒絕反省，把問題行為包裝成深情（3/3）：「Beautiful mistakes」、「I wouldn't take 'em back, I'm in love with the past」。
4. 男聲展現父權式「有毒陽剛氣質」：切斷聯繫的動機不是尊重對方意願，而是害怕自己顯得軟弱，把情感表露視為男性之恥，強化男性必須壓抑情感、維持強硬形象的刻板框架（3/3）：「I take a break, I cut you off / To keep myself from lookin' soft」。
5. 男聲以自我編造的謊言維持「她終會回來」的想像並當作現實，體現對女性情感的預設權利感（entitlement），拒絕接受關係結束的事實（2/3）：「I make up lies inside my head / Like one day you'll come back to me」、「I make these lies inside my head / Feel like they're my reality」。
6. 男聲對女方的懷念聚焦於身體與外在姿態，而非其人格主體，強化以身體凝視定義女性的傾向（2/3）：「I fill my days with the way you walk」。
僅單獨提及：男方以自我中心的凝視想像女方離開自己就崩潰、非他不可，複製「女人離不開男人」的框架。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,✓,,,,,,,,,,
Best Friend,Saweetie Featuring Doja Cat,female,"Drive her own car / She don't need no Lyft
She a real bad bitch / Got her own money / She don't need no nig
That my best friend / She a real bad bitch","1. 女性的價值與魅力仍以男性的性慾望作為驗證標準：把「有錢男人想跟我們上床」當成值得炫耀、互相報喜的成就，將女性魅力放回男性凝視之下衡量，並把男性財富與女性被慾望程度綁在一起，削弱了「不需要男人」的獨立宣言。（3/3）引文：「All the rich ass boys wanna fuck on us」、「I hit her phone with the tea, like, ""bitch, guess what?""」
2. 將閨密的性魅力當作可供他人「取用」的資源來介紹：以第三方口吻向一個「你」推薦好友的性吸引力，把好友化約為可供推薦、品評的性對象，與全曲標榜的女性自主形成矛盾。（3/3）引文：「That my best friend, if you need a freak / I ain't dumb, but motherfucker, she my Tweedledee」
3. 賦權建立在與其他女性的敵對、競爭與比較之上：預設場景中其他女性必然嫉妒，以「我們是全場最壞／最強」的排他姿態自居，把女性群體描繪成彼此互鬥而非普遍團結的關係。（3/3）引文：「When we pull up to the scene, they be filled with jealousy」、「If a bitch finicky, she gon' bring that energy」、「Let's celebrate 'cause we the baddest in the club」、「Whole world wanna be us」
4. 將「獨立」與「賦權」窄化為消費力與奢侈品展示：女性自主被等同於名車、名牌、珠寶與撒錢能力，是一種消費主義式的空洞賦權，對不具此經濟條件的女性形成排除，也未觸及結構性的性別平等。（3/3）引文：「Got me steppin' out that Jeep got Manolo's」、「In our bag, bust some bands every time we link up」、「your wrist look like it's frozen」、「Is that my bestie in a Tessie?」、「Got her own money」、「Drive her own car」
5. 自信與價值評判高度集中於外貌與身體的性化面向：即使是姊妹間的互相打氣，讚美內容幾乎全落在髮型、膚色、臀部與擺姿上，強化外貌至上的審美規訓，將女性價值窄化為可被觀看的身體。（3/3）引文：「Fresh blow out, skin on tan, ooh, she ready」、「Uh oh, girl I think our booty growin'」、「Fuck it up in the mirror hit them poses」
6. 反覆以「bitch」指稱女性（包括摯友、讚美時與帶敵意地指涉外人）：即使意在「壞女人」式的挪用，在讚美與貶抑間混用同一貶義詞，仍延續以厭女詞彙為女性命名的語言慣習，顯示語言上的內化厭女。（2/3）引文：「She a real bad bitch」、「If a bitch finicky, she gon' bring that energy」、「Bitch break her back, she protect and attack」、「Bitch, you look goodt, with a T at the end」
僅單獨提及:以在脫衣舞俱樂部打賞（「In the strip club, know my girl gon' tip」）作為豪氣與姊妹情誼的展演，將自身「解放」建立在消費其他女性性化身體之上，未挑戰該產業的物化邏輯。",—,—,—,—,—,—,—,—,—,—,—,—,—,✓,,,,,✓,✓,✓,,,,,,,✓,✓,,,,,,✓,,,,,,,✓,
Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",mixed,I broke the curse in my family not having shit,"1. 將女性視為男性的財產與炫富配件，以所有格語氣把女性當成與名車並列的資產展示（3/3）：「My bitch drive a all white Range」、「Couldn't hit it if you nigga's had aim」。
2. 將女性的性同意描繪成可用金錢購買之物，把性化約為財富的附屬品（3/3）：「Type of money she gon' let you put it in her face」。
3. 以「hoes」貶稱女性，並將女性當作可大量「收集」的戰利品，以數量彰顯男性財富與雄風（3/3）：「Big sack, a lotta hoes like Santa」、「Tell them hoes that it's crunch time」。
4. 明示性交易與「包養」邏輯，以名牌鞋與學費作為對價要求性服務，並以「騎得比特斯拉好」把女性性表現當成商品驗收標準、將身體比作可駕駛的車輛（3/3）：「I might buy her red bottoms with the crypto」、「3 coins, that'll pay ya whole semester / But you gotta ride it better than a Tesla」。
5. 對女性伴侶表達的去留提問予以輕蔑打發，並以「bitch」羞辱回應，暗示對方毫無價值、可隨時被取代（3/3）：「She said whatchu' gon do if I leave? / I said bitch, I'ma do me」。
6. 複製「女人多半只圖錢和性」的刻板預設：表面稱讚「不只圖錢和性」的女生為稀有例外，反面貶低女性整體（3/3）：「I'm passionate, like girls that's after more than just cash and dick」。
7. 歌曲後段的女性聲音雖帶有自我賦權語句，但其展現力量的方式建立在貶低其他女性之上，複製厭女語彙與女女相鬥框架，並以蕩婦羞辱式的語言自況，顯示對厭女標籤的內化（3/3）：「Yep, the queens back, what's happenin'?」、「Bout to make these bum bitches mad again」、「Rerun bout to make these bitches rap again」、「Show my ass like a stank hoe」。
8. 以「bitch」等陰性化辱罵語作為貶低對手的武器，強化「女性化＝低劣」的性別階序（2/3）：「Big bank take lil' bank, bank (lil' bitch)」。",✓,,,✓,,,,,,,✓,,✓,✓,✓,,,✓,,,,,,,,,,✓,✓,✓,✓,✓,,,✓,,✓,,,,,,
Big Energy,Latto,female,"On the count of three, bad bitches, get money (Money)
A boss like you need a boss like me (Uh-huh)
Bad bitch, I could be your fantasy (Ayy, ayy)
I'm a boss bitch but tonight we do it your way","1. 以男性性器官作為力量、權力與魅力的度量標準，複製陽具中心的價值觀（3/3）：「I can tell you got big dick energy (Uh-huh)」、「You got that real big energy / You got that big dick energy (Big dick energy)」
2. 敘事者雖以主動姿態發聲，卻反覆將自我定位為男性慾望與幻想的客體，把自身價值繫於能否滿足、取悅男性（3/3）：「Bad bitch, I could be your fantasy (Yeah)」、「Feel good, don't it? (Don't it?)」、「Blindfold (Yeah), tie me to the bed (Yeah), while we roleplay (Yeah)」
3. 將女性身體切割為可供評鑑的部位與規格，以男性凝視的標準自我評分，複製「細腰豐臀」的單一物化身材規範（3/3）：「Pretty face, no waist and a big ol' ass, ha」、「Pretty face, no waist with a big ol' bag, ha」、「Pussy juicy, Minute Maid (Oh)」
4. 貶抑、敵視其他女性，以打壓同性抬高自己，將女性關係建構為圍繞男性的競爭與取代，而非團結（3/3）：「And if your bitch ain't right, I got the remedy (Ooh)」、「Real bitch, them other hoes phony」、「I'm the one these bitches hate but they can't get past (Uh-huh)」
5. 接受並內化以男性為中心的「正宮／小三」女性位階制度，將女性地位定義為在某個男人身邊的獨占位置、供其「娛樂」的對象（3/3）：「Not a side hoe, a main / I'm the only bitch he entertain (Yeah)」
6. 大量使用「bitch」「hoe」等針對女性的貶損詞彙指稱自己與其他女性，即便可解讀為挪用與翻轉，文本中同時存在貶抑他人女性的用法，使該詞的貶義功能仍在運作（3/3）：「Hood bitch, fuck you bonnet (Yeah)」、「them other hoes phony」、「On the count of three, bad bitches, get money (Money)」
7. 將親密關係高度金錢化、交易化，一方面依附男性財力、一方面以財力篩選淘汰男性，強化「以性與陪伴交換資源」「男人供養、女人索取」的性別化交易腳本（3/3）：「Spendin' his mind in the bank (In the bank)」、「Broke niggas to the left, we don't want it (We don't want)」、「A boss like you need a boss like me (Uh-huh)」
8. 以「daddy」稱呼性伴侶，語言上複製父權式的年齡／權力上下位關係（3/3）：「Hey, daddy / When you gon' stop playin'?」、「Daddy from the street, so he move lowkey」
9. 自稱「boss」的賦權姿態最終仍讓渡給男性主導，呈現「女性的強勢與自主終須讓位於男性慾望」的框架（3/3）：「I'm a boss bitch but tonight we do it your way」
10. 以酒精作為性同意的鋪墊，模糊清醒自主同意的界線（2/3）：「But I might let you try it off the Hennessy (Uh)」",—,—,—,—,—,—,—,—,—,—,—,—,—,✓,✓,✓,,✓,,✓,✓,,,,✓,✓,✓,✓,,✓,,,,,✓,✓,✓,,,,,✓,
Bloody Mary,Lady Gaga,female,"See, when you're gone I'll still be Bloody Mary","1. 將男性伴侶神格化為個人信仰的核心，女性主體的價值與生命意義完全繫於男性身上，形成以男性為中心的依附／從屬框架 (2/3)：「And when you're gone I'll tell them my religion's you」
2. 把對男性的無條件寬恕與不究責設定為女性的義務與美德，即使對方「所做的事」可能有虧欠，仍以隱忍、原諒作為美德展演，複製要求女性無條件寬恕的傳統性別腳本 (2/3)：「Forgive him before he's dead」、「I won't cry for you / I won't crucify the things you do」
3. 延續「等待的女人」的被動角色原型——女性在孤寒之地守候，並以「害怕孤獨終老」作為情感驅力，暗示女性須依附於關係才算完整、寧可苦等也不願獨自生活 (2/3)：「I'll wait on mountain tops in Paris cold / Je ne veux pas mourir toute seule」（法文，意為「我不想孤獨地死去」）",—,—,—,—,—,—,—,—,—,—,—,—,—,,,,,,,,,,,✓,,,,,,,,,,,,,,✓,✓,,,,
Blue Strips,Jessie Murph,female,I had to get back at you,"1. 以厭女詞彙「bitch」貶稱另一名女性，把報復與羞辱的矛頭轉嫁到與過錯男性相關的女人身上而非過錯方本人，複製「女人為難女人」的父權腳本（3/3）：「Throwing ones / At your bitch」。
2. 描寫在脫衣舞俱樂部向裸露的女性丟擲鈔票，把（其他）女性的身體當作金錢交易、洩憤與示威的道具，將女體商品化、物化為報復劇碼中可被金錢羞辱的客體（3/3）：「Bare tits in the strip club / Throwing ones / At your bitch」。
3. 敘事者將自己的身體展演明言為「為他脫」，把裸露與性展演工具化為對男性的報復手段，其情慾與身體自主仍以男性的目光與反應為座標，而非出於自身主體慾望（3/3）：「I'm going home, l'ma take it off for him / I'ma strip down all your wrongs, yeah」、「And I know you know what's going on」。
4. 以「得到新男人」與豪宅並列為報復的戰利品與自我價值的證明，暗示女性的價值與勝利仍需透過與男性的關係來確立，未脫離以男性為中心的價值框架（3/3）：「Got a new man / Got a new damn mansion in Malibu / I had to get back at you」。
5. 全曲的行動動機幾乎完全由「向前任男性報復」所定義，一切作為（買豪宅、新戀情、身體展演）皆以前任男性為目的與觀眾，甚至以自毀式的決絕強化這種以男性為軸心的執念，呈現名為賦權、實則仍受制於男性陰影的主體位置（3/3）：「I had to get back at you / I had to get back at you」、「Boy, I ain't mad at you」、「I ain't jumping, but I'll die to settle scores」。",—,—,—,—,—,—,—,—,—,—,—,—,—,,,,✓,,,,✓,,,,,,,,✓,,,,,,✓,,,,,,,✓,
BMF,SZA,female,You know I'm hella different from them chickens you been trickin' on,"1. 以貶抑性詞彙攻擊其他女性，將女性置於為爭取男性而互相競爭、踩低彼此的位置，複製厭女語彙與父權下的女性內鬥框架（3/3）
   - 「You know I'm hella different from them chickens you been trickin' on」
   - 「Other hoes is lacking, call me up」
2. 將男性的支配與頤指氣使浪漫化為魅力來源，肯認「男強勢、女順服」的權力關係（3/3）
   - 「The boy from South Detroit keep bossing」
   - 「Ooh, he bossy, ooh, he crip walkin'」
3. 主動套用「泰山與珍」的傳統性別腳本與殖民式陽剛敘事，女性自居被男性主宰、拋擲擺弄的從屬角色，並以取悅、呼喊男性為滿足（3/3）
   - 「I'm just tryna hear you say my name / Love to play your ruler, be your Jane / You could be my Tarzan, toss me up」
4. 將男性持槍與暴力「替我出頭」美化為擇偶條件與依戀理由，強化「男性以暴力保護、女性依附受保護」的父權腳本（3/3）
   - 「And when I got a problem, he get to packing / He 'bout all that action, call him Mr. Handle It」
   - 「Know my baby packing, why I'm stuck / That's why he my man」
5. 以被動語態描述自己被男性「slut me out」，內化蕩婦羞辱的詞彙，將被支配、被當作洩慾對象的處境當作值得誇耀的經驗（3/3）
   - 「Took me to Slauson and he slut me out」
6. 以「ride or die」式的無條件忠誠與犧牲證明自己的價值，全曲敘事以「成為他的女人」為核心目標，將女性主體性與價值收束於能否被男性選中（3/3）
   - 「I can be your ride or die, get down your strongest bone」
   - 「I'm just tryna show you what it would be like if you my man」
   - 「I'm not the one, but we can still pretend this can be my man」
7. 即使明知對方不誠實仍選擇迎合、假裝關係成立，呈現女性在關係中自我矮化與遷就的模式（2/3）
   - 「I can't keep up with all the lies you tell yourself」
   - 「I'm not the one, but we can still pretend this can be my man」
僅單獨提及：以「內褲自動掉落」的措辭將女性慾望描寫為對男性外貌不由自主的反應，把自己化約為隨時可得的性客體、弱化主體性。",—,—,—,—,—,—,—,—,—,—,—,—,—,,,✓,,,,,,,,✓,,✓,,,,,,,,,✓,✓,,✓,,,,✓,
